"IdTipoBeneficio_T";"IdAreaDeServicio_T";"IdCondicionDePagoCopago_T";"IdCondicionDePagoCoseguro_T";"IdNivelServicio_T";"IdPlan_T";"Fecha";"IdProveedor_T";"valorCopago";"valorCoseguro";"cantidadLimite"
640;10382017;34;27;3;"16842FL0070128-03";"2017-12-31";16842;0;50;35
225;31512017;238;45;2;"29418TX0140002-04";"2017-12-31";29418;0;0;0
190;66252017;238;45;1;"52697WI0010002-00";"2017-12-31";52697;0;0;0
620;49492017;34;45;3;"38166WI0180012-06";"2017-12-31";38166;0;100;0
795;37872017;34;45;3;"33602TX0460322-03";"2017-12-31";33602;0;100;0
450;46922017;238;45;1;"37833WI0540010-01";"2017-12-31";37833;0;0;0
250;19802017;34;18;3;"21663FL0130009-01";"2017-12-31";21663;0;0;0
80;46912018;238;45;1;"37833WI0540010-01";"2018-12-31";37833;0;0;0
80;72032017;238;45;1;"56503FL2570001-04";"2017-12-31";56503;0;0;0
165;44812017;238;45;3;"36239KY1130005-05";"2017-12-31";36239;0;0;0
225;95592017;238;45;3;"87571OK0350035-02";"2017-12-31";87571;0;0;0
335;72002017;238;45;3;"56503FL2570001-04";"2017-12-31";56503;0;0;0
825;109612017;34;45;3;"96667ME0260012-03";"2017-12-31";96667;0;100;1
480;59132018;34;45;3;"41921VA0020003-03";"2018-12-31";41921;0;100;0
645;102702018;34;45;3;"91661NJ2340003-05";"2018-12-31";91661;0;100;0
190;52082017;238;45;2;"40047MI0070001-00";"2017-12-31";40047;0;0;0
900;67552018;238;45;2;"53901AZ1420020-00";"2018-12-31";53901;0;0;0
750;102402017;153;36;1;"91661NJ2340003-05";"2017-12-31";91661;5;0;0
350;65842017;34;27;1;"49046GA0420043-01";"2017-12-31";49046;0;30;120
400;38522017;238;45;3;"33602TX0770078-02";"2017-12-31";33602;0;0;0
135;38672017;238;45;2;"33602TX0770102-02";"2017-12-31";33602;0;0;35
785;41072017;34;27;1;"36096IL0990040-05";"2017-12-31";36096;0;30;0
735;112112018;34;45;3;"96751NH0150027-06";"2018-12-31";96751;0;100;0
590;102802017;238;45;2;"91661NJ2340003-05";"2017-12-31";91661;0;0;0
135;34742018;238;27;1;"31195SD0080004-01";"2018-12-31";31195;0;0;0
590;19482017;238;45;2;"21663FL0130009-01";"2017-12-31";21663;0;0;0
275;10222017;238;45;2;"16842FL0070128-03";"2017-12-31";16842;0;0;1
